esmini GIT REV: N/A
esmini GIT TAG: N/A
esmini GIT BRANCH: N/A
esmini BUILD VERSION: 3911
Scenario File Name: ../../resources/xosc/./lane_change.xosc
Number of Vehicles: 4
Index [-] , TimeStamp [s] , #1 Entity_Name [-] , #1 Entity_ID [-] , #1 Current_Speed [m/s] , #1 Wheel_Angle [deg] , #1 Wheel_Rotation [-] , #1 bb_x [m] , #1 bb_y [m] , #1 bb_z [m] , #1 bb_length [m] , #1 bb_width [m] , #1 bb_height [m] , #1 World_Position_X [m] , #1 World_Position_Y [m] , #1 World_Position_Z [m] , #1 Vel_X [m/s] , #1 Vel_Y [m/s] , #1 Vel_Z [m/s] , #1 Acc_X [m/s2] , #1 Acc_Y [m/s2] , #1 Acc_Z [m/s2] , #1 Distance_Travelled_Along_Road_Segment [m] , #1 Lateral_Distance_Lanem [m] , #1 lane_id, #1 lane_offset[m] , #1 World_Heading_Angle [rad] , #1 Heading_Angle_Rate [rad/s] , #1 Relative_Heading_Angle [rad] , #1 Relative_Heading_Angle_Drive_Direction [rad] , #1 World_Pitch_Angle [rad] , #1 Road_Curvature [1/m] , #1 collision_ids , #2 Entity_Name [-] , #2 Entity_ID [-] , #2 Current_Speed [m/s] , #2 Wheel_Angle [deg] , #2 Wheel_Rotation [-] , #2 bb_x [m] , #2 bb_y [m] , #2 bb_z [m] , #2 bb_length [m] , #2 bb_width [m] , #2 bb_height [m] , #2 World_Position_X [m] , #2 World_Position_Y [m] , #2 World_Position_Z [m] , #2 Vel_X [m/s] , #2 Vel_Y [m/s] , #2 Vel_Z [m/s] , #2 Acc_X [m/s2] , #2 Acc_Y [m/s2] , #2 Acc_Z [m/s2] , #2 Distance_Travelled_Along_Road_Segment [m] , #2 Lateral_Distance_Lanem [m] , #2 lane_id, #2 lane_offset [m] , #2 World_Heading_Angle [rad] , #2 Heading_Angle_Rate [rad/s] , #2 Relative_Heading_Angle [rad] , #2 Relative_Heading_Angle_Drive_Direction [rad] , #2 World_Pitch_Angle [rad] , #2 Road_Curvature [1/m] , #2 collision_ids , #3 Entity_Name [-] , #3 Entity_ID [-] , #3 Current_Speed [m/s] , #3 Wheel_Angle [deg] , #3 Wheel_Rotation [-] , #3 bb_x [m] , #3 bb_y [m] , #3 bb_z [m] , #3 bb_length [m] , #3 bb_width [m] , #3 bb_height [m] , #3 World_Position_X [m] , #3 World_Position_Y [m] , #3 World_Position_Z [m] , #3 Vel_X [m/s] , #3 Vel_Y [m/s] , #3 Vel_Z [m/s] , #3 Acc_X [m/s2] , #3 Acc_Y [m/s2] , #3 Acc_Z [m/s2] , #3 Distance_Travelled_Along_Road_Segment [m] , #3 Lateral_Distance_Lanem [m] , #3 lane_id, #3 lane_offset [m] , #3 World_Heading_Angle [rad] , #3 Heading_Angle_Rate [rad/s] , #3 Relative_Heading_Angle [rad] , #3 Relative_Heading_Angle_Drive_Direction [rad] , #3 World_Pitch_Angle [rad] , #3 Road_Curvature [1/m] , #3 collision_ids , #4 Entity_Name [-] , #4 Entity_ID [-] , #4 Current_Speed [m/s] , #4 Wheel_Angle [deg] , #4 Wheel_Rotation [-] , #4 bb_x [m] , #4 bb_y [m] , #4 bb_z [m] , #4 bb_length [m] , #4 bb_width [m] , #4 bb_height [m] , #4 World_Position_X [m] , #4 World_Position_Y [m] , #4 World_Position_Z [m] , #4 Vel_X [m/s] , #4 Vel_Y [m/s] , #4 Vel_Z [m/s] , #4 Acc_X [m/s2] , #4 Acc_Y [m/s2] , #4 Acc_Z [m/s2] , #4 Distance_Travelled_Along_Road_Segment [m] , #4 Lateral_Distance_Lanem [m] , #4 lane_id, #4 lane_offset [m] , #4 World_Heading_Angle [rad] , #4 Heading_Angle_Rate [rad/s] , #4 Relative_Heading_Angle [rad] , #4 Relative_Heading_Angle_Drive_Direction [rad] , #4 World_Pitch_Angle [rad] , #4 Road_Curvature [1/m] , #4 collision_ids , 
0, 0.000000, Ego, 0, 20.000000, 0.000000, 0.000000, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 294.883530, -63.303169, 0.000000, -19.941824, -1.524361, 0.000000, 0.000000, 0.000000, 0.000000, 50.000000, -1.785000, -1, 0.000000, 3.217885, 0.000000, 0.000000, -0.000000, 0.000000, -0.004765, , Truck, 1, 20.000000, 0.000000, 0.000000, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 45.864788, -46.446148, 0.000000, 19.869540, -2.280656, 0.000000, 0.000000, 0.000000, 0.000000, 300.000000, 1.785000, 1, 0.000000, 6.168904, 0.000000, 3.141593, -0.000000, 0.000000, -0.000087, , Truck+, 2, 0.000000, 0.000000, 0.000000, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 39.903926, -45.761951, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 305.999350, 1.786538, 1, 0.001538, 6.168904, 0.000000, 3.142100, 0.000507, 0.000000, -0.000082, , Truck++, 3, 0.000000, 0.000000, 0.000000, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 27.286769, -44.313735, 0.000000, 0.000000, -0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 318.697549, 1.799234, 1, 0.014234, 6.168904, 0.000000, 3.143059, 0.001467, 0.000000, -0.000069, , 
1, 0.001000, Ego, 0, 20.000000, -0.000500, 0.057143, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 294.863588, -63.304692, 0.000000, -19.941930, -1.523405, 0.000000, -0.106403, 0.955707, 0.000000, 50.020172, -1.785000, -1, 0.000000, 3.217789, -0.096096, 0.000000, -0.000000, 0.000000, -0.004763, , Truck, 1, 20.000000, 0.000275, 0.057143, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 45.884658, -46.448429, 0.000000, 19.869546, -2.280639, 0.000000, 0.005944, 0.016911, 0.000000, 299.980003, 1.785000, 1, 0.000000, 6.168906, 0.001748, 3.141593, 0.000000, 0.000000, -0.000087, , Truck+, 2, 20.000000, 0.000040, 0.057143, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 39.923796, -45.764232, 0.000000, 19.869544, -2.280652, 0.000000, 19869.544223, -2280.651532, 0.000000, 305.979354, 1.786528, 1, 0.001528, 6.168904, 0.000251, 3.142098, 0.000506, 0.000000, -0.000082, , Truck++, 3, 20.000000, -0.000013, 0.057143, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 27.306638, -44.316016, 0.000000, 19.869543, -2.280658, 0.000000, 19869.543458, -2280.658197, 0.000000, 318.677551, 1.799205, 1, 0.014205, 6.168904, -0.000084, 3.143058, 0.001465, 0.000000, -0.000069, , 
2, 0.024000, Ego, 0, 20.000000, -0.012000, 1.371429, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 294.404865, -63.339205, 0.000000, -19.944488, -1.500548, 0.000000, -0.111223, 0.993773, 0.000000, 50.484116, -1.785000, -1, 0.000000, 3.215590, -0.095591, 0.000000, -0.000000, 0.000000, -0.004715, , Truck, 1, 20.000000, 0.000275, 1.371429, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 46.341659, -46.500874, 0.000000, 19.869599, -2.280222, 0.000000, 0.002302, 0.018126, 0.000000, 299.520075, 1.785000, 1, 0.000000, 6.168946, 0.001753, 3.141593, 0.000000, 0.000000, -0.000088, , Truck+, 2, 20.000000, 0.000046, 1.371429, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 40.380796, -45.816684, 0.000000, 19.869565, -2.280518, 0.000000, 0.000885, 0.005795, 0.000000, 305.519432, 1.786301, 1, 0.001301, 6.168911, 0.000293, 3.142067, 0.000475, 0.000000, -0.000082, , Truck++, 3, 20.000000, -0.000013, 1.371429, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 27.763638, -44.368472, 0.000000, 19.869544, -2.280695, 0.000000, 0.000035, -0.001613, 0.000000, 318.217593, 1.798539, 1, 0.013539, 6.168902, -0.000080, 3.143024, 0.001431, 0.000000, -0.000070, , 
3, 0.037000, Ego, 0, 20.000000, -0.014895, 2.114286, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 294.145559, -63.358267, 0.000000, -19.946660, -1.466326, 0.000000, -0.167039, 2.632467, 0.000000, 50.746323, -1.785000, -1, 0.000000, 3.214357, -0.094825, 0.000000, -0.000000, 0.000000, -0.004688, , Truck, 1, 20.000000, 0.000276, 2.114286, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 46.599964, -46.530509, 0.000000, 19.869664, -2.279594, 0.000000, 0.004995, 0.048364, 0.000000, 299.260116, 1.785000, 1, 0.000000, 6.168969, 0.001759, 3.141593, 0.000000, 0.000000, -0.000088, , Truck+, 2, 20.000000, 0.000058, 2.114286, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 40.639100, -45.846330, 0.000000, 19.869568, -2.280422, 0.000000, 0.000293, 0.007424, 0.000000, 305.259477, 1.786179, 1, 0.001179, 6.168916, 0.000370, 3.142051, 0.000458, 0.000000, -0.000082, , Truck++, 3, 20.000000, -0.000015, 2.114286, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 28.021942, -44.398121, 0.000000, 19.869534, -2.280719, 0.000000, -0.000764, -0.001791, 0.000000, 317.957617, 1.798170, 1, 0.013170, 6.168901, -0.000093, 3.143004, 0.001412, 0.000000, -0.000070, , 
4, 0.056000, Ego, 0, 20.000000, -0.014789, 3.200000, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 293.766526, -63.385555, 0.000000, -19.949079, -1.436192, 0.000000, -0.127337, 1.585978, 0.000000, 51.129529, -1.785000, -1, 0.000000, 3.212568, -0.094147, 0.000000, -0.000000, 0.000000, -0.004648, , Truck, 1, 20.000000, 0.000277, 3.200000, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 46.977489, -46.573810, 0.000000, 19.869726, -2.279033, 0.000000, 0.003314, 0.029502, 0.000000, 298.880175, 1.785000, 1, 0.000000, 6.169002, 0.001766, 3.141593, 0.000000, 0.000000, -0.000088, , Truck+, 2, 20.000000, 0.000067, 3.200000, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 41.016622, -45.889654, 0.000000, 19.869586, -2.280260, 0.000000, 0.000904, 0.008525, 0.000000, 304.879542, 1.786008, 1, 0.001008, 6.168924, 0.000429, 3.142028, 0.000435, 0.000000, -0.000083, , Truck++, 3, 20.000000, -0.000014, 3.200000, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 28.399463, -44.441455, 0.000000, 19.869529, -2.280753, 0.000000, -0.000283, -0.001822, 0.000000, 317.577651, 1.797639, 1, 0.012639, 6.168899, -0.000092, 3.142976, 0.001383, 0.000000, -0.000071, , 
5, 0.073000, Ego, 0, 20.000000, -0.014669, 4.171429, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 293.427352, -63.409397, 0.000000, -19.951395, -1.402513, 0.000000, -0.136257, 1.981153, 0.000000, 51.472374, -1.785000, -1, 0.000000, 3.210981, -0.093383, 0.000000, -0.000000, 0.000000, -0.004613, , Truck, 1, 20.000000, 0.000278, 4.171429, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 47.315276, -46.612543, 0.000000, 19.869795, -2.278400, 0.000000, 0.004002, 0.037246, 0.000000, 298.540229, 1.785000, 1, 0.000000, 6.169033, 0.001772, 3.141593, -0.000000, 0.000000, -0.000089, , Truck+, 2, 20.000000, 0.000078, 4.171429, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 41.354406, -45.928416, 0.000000, 19.869600, -2.280092, 0.000000, 0.000861, 0.009896, 0.000000, 304.539600, 1.785862, 1, 0.000862, 6.168932, 0.000496, 3.142008, 0.000415, 0.000000, -0.000083, , Truck++, 3, 20.000000, -0.000015, 4.171429, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 28.737245, -44.480228, 0.000000, 19.869521, -2.280784, 0.000000, -0.000484, -0.001833, 0.000000, 317.237682, 1.797173, 1, 0.012173, 6.168897, -0.000094, 3.142950, 0.001358, 0.000000, -0.000071, , 
6, 0.087000, Ego, 0, 20.000000, -0.014565, 4.971429, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 293.148006, -63.428630, 0.000000, -19.953288, -1.373724, 0.000000, -0.135220, 2.056344, 0.000000, 51.754698, -1.785000, -1, 0.000000, 3.209683, -0.092725, 0.000000, -0.000000, 0.000000, -0.004583, , Truck, 1, 20.000000, 0.000279, 4.971429, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 47.593453, -46.644433, 0.000000, 19.869853, -2.277853, 0.000000, 0.004164, 0.039091, 0.000000, 298.260273, 1.785000, 1, 0.000000, 6.169057, 0.001778, 3.141593, 0.000000, 0.000000, -0.000089, , Truck+, 2, 20.000000, 0.000087, 4.971429, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 41.632580, -45.960335, 0.000000, 19.869613, -2.279937, 0.000000, 0.000944, 0.011040, 0.000000, 304.259648, 1.785747, 1, 0.000747, 6.168940, 0.000554, 3.141992, 0.000400, 0.000000, -0.000083, , Truck++, 3, 20.000000, -0.000015, 4.971429, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 29.015418, -44.512160, 0.000000, 19.869513, -2.280810, 0.000000, -0.000532, -0.001832, 0.000000, 316.957708, 1.796796, 1, 0.011796, 6.168896, -0.000094, 3.142929, 0.001336, 0.000000, -0.000071, , 
7, 0.102000, Ego, 0, 20.000000, -0.014469, 5.828571, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 292.848679, -63.448834, 0.000000, -19.955150, -1.346988, 0.000000, -0.124082, 1.782398, 0.000000, 52.057173, -1.785000, -1, 0.000000, 3.208301, -0.092110, 0.000000, -0.000000, 0.000000, -0.004552, , Truck, 1, 20.000000, 0.000280, 5.828571, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 47.891502, -46.678593, 0.000000, 19.869909, -2.277339, 0.000000, 0.003731, 0.034234, 0.000000, 297.960321, 1.785000, 1, 0.000000, 6.169084, 0.001784, 3.141593, 0.000000, 0.000000, -0.000089, , Truck+, 2, 20.000000, 0.000095, 5.828571, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 41.930625, -45.994531, 0.000000, 19.869631, -2.279757, 0.000000, 0.001178, 0.011995, 0.000000, 303.959699, 1.785628, 1, 0.000628, 6.168949, 0.000603, 3.141976, 0.000384, 0.000000, -0.000084, , Truck++, 3, 20.000000, -0.000014, 5.828571, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 29.313460, -44.546372, 0.000000, 19.869507, -2.280836, 0.000000, -0.000396, -0.001739, 0.000000, 316.657735, 1.796399, 1, 0.011399, 6.168895, -0.000089, 3.142906, 0.001314, 0.000000, -0.000071, , 
8, 0.120000, Ego, 0, 20.000000, -0.014359, 0.573958, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 292.489448, -63.472537, 0.000000, -19.957281, -1.316785, 0.000000, -0.118417, 1.677961, 0.000000, 52.420122, -1.785000, -1, 0.000000, 3.206656, -0.091410, 0.000000, -0.000000, 0.000000, -0.004515, , Truck, 1, 20.000000, 0.000281, 0.573958, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 48.249162, -46.719575, 0.000000, 19.870004, -2.276756, 0.000000, 0.005314, 0.032371, 0.000000, 297.600379, 1.785000, 1, 0.000000, 6.169116, 0.001790, 3.141593, 0.000000, 0.000000, -0.000090, , Truck+, 2, 20.000000, 0.000103, 0.573958, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 42.288279, -46.035563, 0.000000, 19.869686, -2.279526, 0.000000, 0.003070, 0.012815, 0.000000, 303.599761, 1.785491, 1, 0.000491, 6.168961, 0.000654, 3.141958, 0.000365, 0.000000, -0.000084, , Truck++, 3, 20.000000, -0.000012, 0.573958, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 29.671112, -44.587428, 0.000000, 19.869533, -2.280867, 0.000000, 0.001401, -0.001736, 0.000000, 316.297768, 1.795931, 1, 0.010931, 6.168893, -0.000078, 3.142879, 0.001287, 0.000000, -0.000072, , 
9, 0.136000, Ego, 0, 20.000000, -0.014245, 1.488243, 1.400000, 0.000000, 0.750000, 5.040000, 2.000000, 1.500000, 292.170101, -63.493111, 0.000000, -19.959212, -1.285885, 0.000000, -0.120701, 1.931252, 0.000000, 52.742722, -1.785000, -1, 0.000000, 3.205205, -0.090689, 0.000000, -0.000000, 0.000000, -0.004481, , Truck, 1, 20.000000, 0.000282, 1.488243, 2.203459, -0.000000, 1.679225, 5.698770, 2.600001, 3.358449, 48.567083, -46.755993, 0.000000, 19.870080, -2.276151, 0.000000, 0.004730, 0.037819, 0.000000, 297.280430, 1.785000, 1, 0.000000, 6.169145, 0.001797, 3.141593, 0.000000, 0.000000, -0.000090, , Truck+, 2, 20.000000, 0.000111, 1.488243, 2.556560, -0.000000, 1.769419, 11.228218, 2.600000, 3.538837, 42.606195, -46.072032, 0.000000, 19.869718, -2.279301, 0.000000, 0.002003, 0.014057, 0.000000, 303.279815, 1.785375, 1, 0.000375, 6.168972, 0.000710, 3.141942, 0.000350, 0.000000, -0.000084, , Truck++, 3, 20.000000, -0.000011, 1.488243, 3.063138, -0.000000, 1.769419, 11.228219, 2.600000, 3.538837, 29.989025, -44.623922, 0.000000, 19.869536, -2.280891, 0.000000, 0.000226, -0.001449, 0.000000, 315.977796, 1.795524, 1, 0.010524, 6.168892, -0.000071, 3.142855, 0.001262, 0.000000, -0.000072, , 
